userName,content,score,at
Sugi Anto,Sku suka banget Ok,5,2025-12-24 08:12:50
Septiyan Vandi,"mohon diperbaiki semisal penyimpanan hp kita penuh, gak perlu meriset semua riwayat chat kita yang penting itu dari status maupun chat dan ad bug ketika + akun tiba"" akun nya hilang harus dicari baru ketemu. mohon diperbaiki pihak whatsapp.",1,2025-12-24 08:12:01
bayu ajah,aplik yg g😭 nhnbhbnbjhnnnhnhrnbb mnjm m m tggu agtg.#asi ini sangat bernbrnm km tmanfaat,2,2025-12-24 08:09:48
Fatmah Fatmah,Saya sangat puas dengan pelayanan nya,5,2025-12-24 08:08:21
Adrianus Dendi,Mantap,5,2025-12-24 08:05:16
Rein_Channel,"setiqp tema chat walpaper di ganti mnjdi foto di perangkat, selalu tidak ada ketika di pakai, memang ketika di centang awalnya ada tp ktika kluar wa tiba2 menjadi default??? apakah anda mengubahnya?????",3,2025-12-24 08:04:51
Fitri Nurfitriani,adalah pokoknya,5,2025-12-24 08:00:15
Pasar Ngentrong,saya pengguna WhatsApp sangat membantu komunikasi,5,2025-12-24 07:55:48
Slamet Muhamad,bagus dn diluar sana banyk pula mengataskan yg sama tpi ujung2 d jegal akun palsu moga eklan dn akun ini asli bisa d pertanggung jawabkan dunia maupun di akhirat mudh2 bener2 bisa membatu jgn ngasih harapan ksg dmi keuntungan semata.,4,2025-12-24 07:54:17
Stepanus Sigit Cahyono,"hilangkan saja fitur pesan sekali lihatnya, bikin jengkel kadang",4,2025-12-24 07:53:46
Ririn Carlina,"makin hari makin gk ngtak bikin w sm pasangan ribut trs,error terus gblok online di aktifin tp notif nya tiba2 gk aktif,padahal di ss di aktifin online nya,makin gblok",1,2025-12-24 07:53:21
Cecep Setiawan,sangat bagus,5,2025-12-24 07:53:05
Rudi djati,alat komunikasi elit di saat sulit,5,2025-12-24 07:52:12
Hizbullah Alghani,"WhatsApp,, sepertinya lagi tidak baik baik saja 🥹😮‍💨,, gue mau pin chat pacar guee,, malah ttp aja turun ke bawah chatan nya di setiap ada pesan baru masuk dri user lain",5,2025-12-24 07:52:10
Nirwanasebayang Sebayang,bagus,5,2025-12-24 07:52:09
Mellyza Wulandari,Ok,4,2025-12-24 07:50:08
Winaainawina Wina,pulihkan akun WhatsApp saya,1,2025-12-24 07:48:33
Zxkc,kok keluar²mulu abis update min?,3,2025-12-24 07:47:44
Telo Sempat,oke baik,5,2025-12-24 07:47:40
Budi Irawan,sangat bermanfaat,5,2025-12-24 07:45:42
Abang Lhe,aplikasi ini sangat bagus terima kasih buat yang bikin aplikasi ini,5,2025-12-24 07:45:03
Safira Fira,ʙᴀɢᴜs,5,2025-12-24 07:45:01
Ade Lia ZuLianty,Bagus,5,2025-12-24 07:43:59
lluna mddrosebell,whatsapp skrng bener bener ya wa ku jadi ke blokir permanen cuman gegara ada beberapa yang nyepam di grup! jujur kecewa itu akun penting banget udah dari 2021!! kalo dah gini gimana cara mulihinnya?? kecewa sama whatsapp. padahal gak pernah kek gini tiba-tiba rame yang ke ban juga!!,1,2025-12-24 07:43:32
imam hidayat,Bagus,5,2025-12-24 07:39:53
Tri Wahyudi,oke,5,2025-12-24 07:37:46
Odih Samsu,"bagus dr dulu ttp ok,mksh",5,2025-12-24 07:37:40
Mayah Hamisti Aji 04,GASUKA SAMA WA SEKARANG!! TIAP UPLOAD VIDEO/FOTO KE SW JADI PECAH!!!! PADAHAL FILE ASLINYA HD BANGET!!!!! KECEWAA!!!!!!!!,1,2025-12-24 07:37:16
Vanessa Sabrina,"setelah diperbaharui, chat yg disematkan hilang sematnya, walpaper pun tiba-tiba hilang, status orang lain tidak bisa dilihat",1,2025-12-24 07:37:14
Hana Ana,sangat bagus buat pesan,5,2025-12-24 07:36:08
rezafahru00,"kecewa banget,tolong di perbaiki soal pelanggaran nomer WhatsApp setiap ngecht nomor baru pasti kena pelanggaran padahal akun baru buat,yang akun satunya tiba"" hilang tolong di perbaiki🙏",1,2025-12-24 07:35:02
Yudi Supriadi,mantap,5,2025-12-24 07:34:02
Rohimatu Mullah,ga pernah berbuat apa² ke spam terus.,1,2025-12-24 07:34:01
Karisman Muru,Bu mom srs,1,2025-12-24 07:33:32
dillz jenn,"kenapa tiap kali WhatsApp sering di ban? padahal tidak melakukan apa apa selalu saja di ban,ini membuat orang repot jika situasi yang gawat",1,2025-12-24 07:32:46
meivi Meike,ok,5,2025-12-24 07:30:52
Elvan 2020,bagus,5,2025-12-24 07:29:40
Samudi Sam,mantap,5,2025-12-24 07:27:15
Ses Karem,sangat luar biasa,5,2025-12-24 07:25:55
Supriyono Supriyono,sangat bagus,5,2025-12-24 07:25:54
Salma Salzabilla,"akun saya ke log out terus dari kemarin, sudah kirim laporan tapi tidak ada penanganan dan malah gak bisa login sama sekali sekarang, padahal nomornya jelas aktif dan terpasang di handphone",1,2025-12-24 07:23:45
dedescantiq,"udh 3 kli ada yg mau msuk ke nomer sy..3 kli juga kode otp masuk ke sya pdhal sy gk lg registrsi ulng, bahaya bngt tau tolong lah sy gmau nomr sy knp'.smenjak bsa tambhkan akun di wa sy curiga kesitu,itu bisa menimbulkn orng iseng..tolong segera diperbaiki tingkatkan keaman, jngn smpe merugikn ornglain krna kebodohan fitur..",3,2025-12-24 07:23:28
Yaya Anwar,Keren baget,5,2025-12-24 07:23:14
Satri Nesimnasi,aplikasi sonde jelas masa kena spam berulang ulang kali ni😵‍💫,1,2025-12-24 07:22:17
Oppa Oppa,aplikasi nya keren dan sangat membantu... namu punya ku kok masih di versi yg lama.. tolong update ke versi terbaru dong admin... 🙏🙏🙏,5,2025-12-24 07:22:08
Dedi Dores,"WhatsApp sekarang tuh aneh, gak ngapain² kena spam kirim pesan kena spam kirim stiker kena spam dan WhatsApp mengatakan hanya kesalahan sistem.Tolong WhatsApp untuk tidak nge banned tanpa alasan yang tidak masuk akal seperti WhatsApp tidak bisa di gunakan karena spam padahal saya nge spam kagak Tolong segera tidak melakukan itu lagi karena WhatsApp saya terkena spam 17 kali 😭 mohon untuk di tindak lanjut 🙏🙏🙏",1,2025-12-24 07:21:42
Rafisqy _ alwaritiz,saya gk make apa apa malah kena spam gk bisa dibuka,1,2025-12-24 07:21:08
Aslina Br Tarigan,"tidak bisa daftar ,kode verifikasi tidak masuk sudah email tetapi balasan email tidak membantu sama sekali",1,2025-12-24 07:18:46
Dhe Nenotek,whatsapp makin hari makin ngak guna selalu terkena spam tanpa sebab setiap hari meresahkan,1,2025-12-24 07:14:45
Gage Simon,tiba tiba ke blokir permanen lagi apalah padahal saya pake wa biasa biasa aja kalo kayak gini trus wa kayak sampah,1,2025-12-24 07:14:00
Nursalim salim khan,baik',3,2025-12-24 07:11:42
Is Ropi,Tolong whatsap saya di aktifin soalnya sangat penting sekali,3,2025-12-24 07:10:03
Abdul Aziz,min tolong. di benerin tu wa nya masak gaada filter pas vc,4,2025-12-24 07:09:32
Asma Nurlaila,masa bisa wa ke uninstal sendiri😒,2,2025-12-24 07:09:30
Gilang Prayoga,sangat bagus 👍,5,2025-12-24 07:08:32
nurlaela nurlaela,sangat membantu,5,2025-12-24 07:06:24
Abdul Halim,knapa tak boleh login aneh Bener setelah di update,1,2025-12-24 07:06:10
Jeni Anistia,"Akun WhatsApp saya secara tiba tiba diblokir karena spam, Walaupun saya telah mematuhi ketentuan layanan di WhatsApp. Mohon tinjau akun saya dan segera selesaikan masalah ini, Terimakasih.",3,2025-12-24 07:04:58
